	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50
A4GALT	5.32131378063479	4.18581759742869	4.24306950582563	0.623141824025713	1.47247890719164	7.15026114905585	9.47991161108879	1.53294495781438	2.704298915227	1.85285255122539	0.504720771394134	0.675170751305745	0.980514262756127	5.62936922458819	4.84100040176778	5.09873443149859	7.18320610687023	1.6270590598634	6.34762957010848	4.36259541984733	1.30755323423061	5.51145038167939	8.56026516673363	6.64644435516272	1.35727199678586	3.24306950582563	3.24809160305344	3.49959823222178	1.21675371635195	4.48252310164725	0.210526315789474	6.51084773001205	8.77480916030534	1.22529128163921	0.848232221775814	0.17175572519084	1.03445158698272	4.7175572519084	3.48563680192849	0.954198473282443	6.80835676978706	2.32995178786661	8.43260345520289	2.73071514664524	6.2516070711129	0.801526717557252	4.76335877862595	0.833768581759743	0.805443953394938	6.14744877460828
AACS	2421.89560647494	3044.36201868868	3352.35167640846	4577.4591217486	5130.49020075429	7052.00918881789	3670.21500408248	3732.65690943377	2488.24679557796	5306.3962758719	6873.13874823417	3663.16984182014	6365.47194105678	2921.45150274109	3861.35877344185	7690.88543235397	4100.82738857424	4149.02840562993	3865.60120919141	3740.17643437577	3074.1665133037	4334.51083476976	1822.32837484934	2416.35826540002	5967.14203948988	5347.53796673104	4568.01728022655	2821.24268717842	3907.19284788554	3015.33108580982	3423.08998302207	2774.31115585998	1953.69551834524	3648.71719695693	6928.93153326248	5585.90203767545	3182.30892928887	1970.6897315932	5089.05026017704	3217.37682221128	1906.19162281782	2854.3262192356	2345.44222579349	1678.02075875789	3330.5598964476	1525.33182098005	5555.64194163999	4410.52552975026	4467.14626615171	4672.62735390557
AADAT	2574.24157632292	7209.12020227712	2964.58411202841	1664.06643910626	2111.3089516453	2811.92296426859	5907.3081145751	1490.93815983877	2960.4590755777	3501.02825982711	3157.92560718776	1334.22388606643	2933.1252219443	2266.41848407185	3627.21063210384	2992.49032452468	2507.7260434622	3975.67299990928	2329.94155510051	4833.93339079045	1820.93193924234	2482.82947549865	1648.96638208116	2642.82442942495	2009.44309558833	2329.28653138325	2018.26524870722	3731.14813809795	2807.57808486372	3064.05187016421	4996.17200764007	2653.16035200041	1708.53644422556	2485.7078720564	2903.93688827616	875.48810022162	1105.33032342306	1654.29229253878	2113.80067490507	1530.16677542477	3121.9646953045	3874.84108302337	4682.80288770591	1134.44208031467	4137.88365728561	5676.92901071165	3424.44245259788	2395.21784367345	1853.09524893402	2504.93372127684
AAK1	15268.5099312783	23609.9706183012	16859.2941069739	13556.5676930105	23868.9535038038	16280.3882631968	21240.0363607939	30318.7993199108	18914.4269244353	16433.6225424124	18046.3814451328	24131.6739016187	20773.7107336798	20476.7324493902	17684.746434797	20908.1150669397	19347.6412121399	15236.3472861235	15714.3911494447	17189.2187884757	18479.2967638253	20101.2384880571	20609.7332563278	23422.5673693283	21390.2540994894	19257.5852360062	17132.9363272593	17006.5793159256	22000.2600662269	18761.9089121165	18072.7267614601	17839.6798409777	15233.4172617582	21462.6083729701	19688.9453610402	31652.8087724698	22631.7499698674	18662.5796601822	15267.1285886935	21935.1355639005	15957.2816803613	20750.6657275885	23791.0140166734	16398.0418418461	19717.5783008139	19709.0115027087	21727.1319995075	24115.2164601667	14878.2056119506	20065.7479101595
AASDH	4237.6699998542	4767.80492351832	5344.85847406006	7156.85931971643	4618.2604388341	6717.36998924299	4903.73787771031	4536.93201765186	5095.3617615087	7681.16238870385	7923.06246063324	4427.58546443059	4623.82859420158	5251.12266431978	6962.5191579239	5540.87512036833	6647.26672463679	4663.26399707098	4765.29163610208	4417.63518837725	6341.58832410995	4998.3516375277	4061.12890719164	4948.49229286279	5141.39047899467	6866.67944180199	6879.34945826151	3826.63542287679	4839.87816845734	5632.67466530152	4041.63821095076	4261.32886458482	4787.39091356809	4894.5505835353	5050.61864291593	2551.97295001231	2674.20044194456	4292.29401625215	6237.38607550642	3694.52732085693	5493.43159125961	6603.73532332586	3888.22983879068	6216.52287873093	4444.96254236382	4537.94466726176	4023.65096958877	5013.21181002864	5196.00821558405	5638.28871550953
AASS	61008.1179287251	45794.7435012442	61114.4824971811	86835.9958916005	70598.6940771653	83128.0671859407	40891.540752699	41805.3427623479	35494.6839926321	67278.6439268264	131507.115755777	40366.8077009811	89825.0092276986	39403.8193268122	83418.2574668866	45993.6599525007	81188.9401902241	84169.8423903887	61847.4324660765	42200.4860871706	72043.4823060174	42273.1127185422	26327.7055644837	38260.6624087922	70507.1445983294	54114.0002391166	118435.354063039	44343.5673876346	56069.711104991	41379.0452733965	90637.1747665535	47123.2002919297	31625.3181482393	60371.0397024326	87840.7412636569	25977.6778749077	36383.5282643632	34114.2948781088	85194.9886442282	34037.470093573	37200.485433974	44075.7531671613	32390.5398603857	42594.3652516233	52446.4268204292	60487.5431205368	69946.1239780842	65732.8232668904	75810.460587067	63456.4925284154
AATK	1576.43546605062	1291.12058055444	1515.21313780635	2390.51004419446	2589.1217356368	2059.34993973483	1252.45655885898	1803.64624347127	1668.13554640418	2209.57241864202	1338.07583366814	1744.2288067497	2268.38911209321	1049.22976094817	1863.56553836882	1948.80413820812	1377.87118320611	2920.50914021695	1282.07362394536	2655.87786259542	1325.12133386902	1700.84351145038	1506.75532342306	1257.73543591804	1643.61947569305	1893.21313780635	1997.4427480916	1539.08663117718	2863.44997991161	1910.08095620731	1239.23026315789	2787.78595821615	1431.24427480916	1263.14031739654	2033.50617717959	1285.15267175573	1535.91512655685	1666.52671755725	1897.50331458417	2143.62595419847	1380.19807151466	1584.63539574126	1111.81362997188	1703.90829650462	1785.77847529128	1261.92080152672	2066.65076335878	2525.99989955806	2896.41989754922	2189.58135797509
ABCA2	338.314516129032	266.314516129032	300.822580645161	204.504032258065	175.209677419355	304.870967741935	264.645161290323	95.6975806451613	324.524193548387	231.58064516129	119.79435483871	224.286290322581	338.661290322581	376.790322580645	285.637096774194	127.391129032258	313.520161290323	287.201612903226	175.459677419355	287.645161290323	249.701612903226	168.717741935484	455.625	282.072580645161	167.536290322581	321.899193548387	272.310483870968	185.548387096774	380.048387096774	475.822580645161	78.9677419354839	435.866935483871	396.645161290323	239.153225806452	357.786290322581	71.4717741935484	265.125	560.241935483871	127.947580645161	400.310483870968	379.899193548387	448.209677419355	234	448.068548387097	266.782258064516	142.802419354839	293.092741935484	242.693548387097	317.056451612903	338.483870967742
ABCA4	218.39254801773	699.141021300172	195.609209554297	648.580706722482	202.828810637774	178.150209308052	231.429774070426	53.3721866535336	658.130709800542	170.186653533612	184.712964786998	678.73704752524	629.449642945087	745.873384018715	304.861490396454	49.552025363211	354.746186284166	95.3902979561684	146.921177049988	100.477961093327	267.24525978823	1209.19404087663	1736.5965648855	813.888217187885	99.1314177542477	172.220499876878	578.4617458754	180.963232578183	1197.08985471559	205.643560699335	173.461693548387	736.218930066486	754.592464910121	177.724489042108	283.689433021423	117.125129278503	235.937786259542	424.170647623738	671.369133218419	175.818997783797	781.479278502832	1268.87518468358	251.960591603053	336.781937946319	742.140214848559	644.39374846097	218.205682098005	637.310563900517	153.898500984979	648.249692194041
ABCA8	3912.75738345494	2448.67303230991	2656.87359867287	6285.04955999948	4470.07744138727	7038.74473489807	5222.62274977644	4836.92610972148	4592.39719928978	5255.63603727368	2018.1435328348	3273.18123485271	2277.48963179927	1645.02884627846	2675.89273383533	12708.254547752	1882.61439300665	5953.43832540598	7108.14779092523	11100.5605762128	3175.01707189051	5013.32559714356	2754.48981518682	2874.73942832333	4372.39370974222	3728.11714705997	3793.28363703521	7747.43551951166	3941.39932023484	5197.19913101518	3486.7474533107	6999.34742479814	2006.63691209062	2244.5497725476	4120.0727374642	2040.66137650825	2503.0199276818	1947.51699088894	5570.58635479983	2865.02180497414	1479.61861351236	1721.72677847043	1179.56364001607	1821.72106559183	5393.25469614692	3247.84986456538	4963.75002462448	8175.7401495613	4506.46282352026	11203.4465972861
ABCB1	2625.46121750217	1003.03698086095	1369.78877383066	3136.35226123978	6824.64892235514	668.466491271271	1295.72515965409	12719.7336010705	1079.25414849531	2754.91685999041	1813.69122558613	12103.7518497518	935.795552041888	1212.29537505346	3288.70828281536	1388.61155098563	915.235374599852	2543.11979159917	1887.60800230692	1296.13198719527	960.79757384103	923.709431174588	3216.40698071515	2494.75716475071	5404.16190147941	1004.49280608873	3789.48203028811	1755.4238378705	1894.95065838075	3039.90317720551	3371.30915747029	1121.5960952384	951.574735286875	1978.14395242292	2313.96710437214	19373.118080522	10692.6679489755	794.866289091357	2928.58249620913	8078.50340433391	2119.9107851968	2069.72178796382	1596.88615156689	841.096637138895	2974.75041464703	2045.85514189855	4924.6786105639	3697.3323241618	1430.06380129019	921.462590235747
ABCB10	736.910539924053	2201.50099793932	1086.41961404373	1794.78805453674	3116.76605969492	2519.88872328568	1018.72351896733	351.657299861325	1639.63471532809	1936.62880869374	2376.79577949429	1664.89349525007	1449.23471662411	1858.37150559235	2380.55052359414	972.126484920748	2758.25570056636	1680.41729091875	1109.44466556073	1135.88241812361	1819.03711815861	1200.68049741443	1544.74234632382	1641.24038543786	2304.98511839189	1342.52929146308	1468.68389559222	992.347373605153	3010.31129485867	1419.91720343706	2178.4117147708	1451.81123524151	2619.34806697858	1178.47799284594	1532.46876644332	284.491332184191	568.057874648453	2444.55848313223	1840.82505799712	1678.5167200197	894.55849998056	1306.15491063907	1543.62030936119	876.549739498957	1432.41534428907	2878.1477222359	2107.20950504802	1613.9161517127	1035.71566829534	1050.96549981208
ABCB4	217.62109556241	819.80468334867	375.92591272567	299.821650747158	377.562600603948	435.900828160033	419.336884712088	64.0693639108853	288.224023607097	297.561279306367	431.420801850724	425.570268536399	447.943169299758	352.550301163831	513.047359834886	57.0955523658938	326.831079167693	686.326008631527	126.39632900893	81.694533366166	522.582637799868	187.045616843142	129.891361992768	364.661428997265	221.190834024547	473.174299822445	353.670622999261	248.682503823274	360.692211537215	310.314924376936	997.232915959253	104.411509674827	260.1754493967	392.665315776513	221.767129725631	206.753607485841	88.3792286058658	115.261881310022	123.778644746562	110.711081014528	296.77327531461	1266.03052949105	830.241326838088	515.589215775217	150.206678255291	1157.52019514898	274.614509972913	364.209444782851	504.018101420443	341.591661374564
ABCB8	1268.67589676836	1048.75929371493	1279.12982283337	1708.05356633704	1357.95648206949	1203.36060602133	2220.10048285035	328.009764577042	1591.47963175067	874.330366515896	1282.02962745759	995.510160512708	1447.24088570355	2388.22684205666	830.965346962117	735.270779008282	1124.77863672741	1787.66023730219	1027.70372996021	1791.01637527703	1523.31321038375	1783.40051711401	776.674156287666	2981.20317558548	1892.44836109527	1768.2693389624	1407.24588155627	1891.11573949572	2351.25944931894	623.072470483029	335.911980050934	1506.54176748662	1718.88660428466	2201.75537818012	1506.96348765212	244.758563161783	1492.97901767778	4052.30337355331	2191.12392689122	1736.98099606008	1184.39342494071	1268.04747744916	1436.58319355163	1652.71920547182	1389.38805008165	472.499302819503	1035.06149039645	965.561762723726	1375.53903830078	1670.79477442683
ABCB9	132.300731039153	359.480692871214	340.762004432406	599.271977345481	382.888623491751	583.915045555282	272.946480238857	27.7948288598867	71.8902133095297	420.578859886727	706.784880571288	413.563063284905	617.909628170401	245.613618874661	482.549853792169	279.899264343758	462.305640544201	312.820241319872	389.313432652056	65.68049741443	338.291615365673	172.845173602561	212.773664122137	155.092729623246	653.45948504063	515.376520561438	972.288438808175	201.921409443487	492.644262496922	265.275363211032	343.053427419355	253.076178896823	272.55836000985	730.035329967988	621.87093542231	31.5034104900271	98.9896946564886	196.001846835755	929.404752524009	391.927370105885	376.810490027087	479.281657842896	130.824952290076	390.616362964787	473.152870290569	633.037757017976	400.988589633095	579.085828613642	591.919085508495	383.301403595174
ABCC12	147.583532057181	28.84498243886	45.6168366619578	15.6309050143211	9.69818167679726	40.0516984408818	113.077787425965	46.9537189439988	116.839869619876	108.179470314545	129.303655438769	16.2558871939761	23.7864215451211	86.6093715574333	80.1569777990902	170.011868349771	95.4086431913322	71.1725106598064	35.7422756904574	71.0765821226299	28.7471390246115	98.2866289091357	97.6376054640418	36.0045425679441	49.4675183711557	78.5200624684094	24.1457769022408	151.312523490455	77.700028512552	170.53025570575	9.88285229202037	71.1586399512694	45.7178034966757	127.825033372646	16.8218775515494	2.46072395961586	16.9994977902772	197.155626692933	23.858198654726	14.4663875892637	34.9608017211213	128.735244754338	93.6919445560466	24.4930630257002	31.4515189414067	19.9349913814331	83.0118197488303	67.1533683692116	31.5895002527249	108.787749970839
ABCC3	62.7335800911106	236.306290014775	14.5751046540261	48.6855762127555	500.298054666338	13.160797833046	39.9047417508003	1398.76957030288	12.0206614750062	9.07030288106378	30.4291245998523	1299.03621644915	9.25510957892145	18.8927373183945	366.723283981778	678.811102560946	27.929360071411	1.81125338586555	25.336604284659	1.03952228515144	7.59369613395715	15.774932282689	471.244847328244	55.9436161044078	820.840271792662	12.26784658951	686.010360748584	22.2815424156612	35.008975621768	389.126631371583	434.488911290323	28.1243628416646	19.7112780103423	30.8883464663876	349.577294693425	1599.58608101453	337.556679389313	10.6269391775425	84.6649901502093	242.24623861118	346.756014528441	122.042615735041	167.22838740458	15.3196811130263	77.5639513050973	335.666832368875	454.01739411475	441.362620044324	10.1884772839202	11.1164737749323
ABCC6	47.1289630017237	48.967703459739	48.9203398177789	38.6849298202413	20.127801034228	54.4868259049495	40.7822349790692	2.6035459246491	38.3851037306082	29.5459246491012	44.0075104654026	47.168185176065	68.4048263974391	52.346197057375	31.6242073996553	24.2144330214233	38.7345250554051	21.0518345235164	27.1965033243044	23.0048017729623	46.3571780349668	16.4633095296725	75.9809160305343	61.4842711154888	16.8001031149963	42.5332430435853	61.1136419601083	23.9226406673233	56.7267914306821	31.1111795124354	33.085685483871	52.9445487564639	38.9742674218173	25.0836308790938	102.677965710416	21.59480423541	12.7099236641221	40.1415907411968	66.0310268406796	60.5983747845358	36.8042354099975	48.9479346220143	55.4234255725191	100.754493967003	46.0221389436099	16.8217880448165	55.8960385373061	63.2468603792169	29.7653056513174	17.1076089633095
ABCC8	3441.75356147695	5958.23485918687	6197.00695965474	4153.60039334361	3353.64741248591	4086.39609118833	3104.85712943403	1406.19882385723	3831.53888075273	5679.21859407198	6423.06159877655	2404.70550875465	8134.37230264778	5912.13621547713	5523.15244559935	1132.29313625112	5947.00620536814	5088.3482127814	3589.03547998289	3699.29857178035	5443.45307417152	2410.41732331938	3287.1269987947	4739.80967158724	3066.23309011262	4438.36824997732	5125.79953213494	3224.32052968545	7109.92181534235	3192.09223486567	2494.05050933786	3796.13440817014	3979.45124353607	5846.97951113934	3747.54904029342	1286.97436591972	2489.72143431097	5340.66301403595	4272.09562980339	4086.1758680128	7191.34749867157	5957.83556033645	4639.03780634793	5389.93219909537	4125.89852641947	3178.21101945334	4975.71617828121	4147.22036703431	4214.15400018144	2127.30915382522
ABCC9	4144.7279802097	5844.73828555321	6310.79021241851	6033.87999617673	8244.23023108127	5136.41987324875	2427.40460121308	11632.334195946	3503.21976211459	5883.77489340194	7278.12965661815	5509.03203871227	6980.5345196283	3720.36630367164	7800.68703553701	2856.71467132804	5651.04842403349	6959.89986910147	3381.5080735883	1731.74956907166	5777.65519252453	4235.52893376016	3375.81200281237	3690.13388457601	5005.35934887699	5053.48456725722	7745.99813469589	3056.33139847587	3693.78673194313	4615.59123692635	7009.8431663837	4318.53288631268	2108.7266683083	3123.12253852435	6918.63879845514	8169.82674833785	6023.79165327441	2963.30780595912	7731.09164873832	4068.08668431421	3882.09965363729	4825.24121943001	4094.77011852149	5393.6337397452	4151.45908351586	4240.40116966264	6946.10660551588	6695.00301455436	7741.69846194222	3110.65498516051
ABCD1	23.7538014035952	29.0496029303127	283.06242304851	322.764282196503	93.2808421571042	300.558236887466	11.7216972420586	5.42311007141098	2.3791092095543	508.360071410983	329.151378970697	45.557929081507	85.9300664860872	242.090818148239	289.149239719281	34.80617458754	274.479330829845	108.065254863334	35.2598497906919	11.8385865550357	289.166399901502	19.4449027333169	2.6030534351145	6.19219404087663	132.789322211278	88.497906919478	583.679881802512	5.39132910613149	89.2801649839941	6.78188869736518	75.9778225806452	19.4361302634819	217.403472051219	49.8137158335385	102.048864196011	7.19773454814085	1.36641221374046	18.5096035459246	527.014713124846	32.4623245506033	4.48454814085201	38.0146207830584	1.86975190839695	30.9450874168924	43.7149255109579	77.0363364934745	71.7206660920955	291.836308790938	112.579244644176	52.7672986949027
ABCD2	6381.38395196931	5667.16524967923	7711.21154369549	10285.4151216968	9842.73433948081	10692.4826786247	3817.73998172605	3653.26788158219	8201.46672455579	10236.0000032401	11818.7420317137	5701.29332709081	8557.93512098394	5603.08613058749	9755.88215697456	5382.09020755842	10760.5166892391	11588.1109462279	9368.38030171464	5875.23405565132	10766.6237023549	6218.32054912583	4644.55989353154	3707.05109773325	7299.76301371195	8634.00267272774	13730.1309837478	4522.5446383442	8165.37487136951	6453.49418732747	9460.58531409168	5571.30363567439	4932.38672740704	6761.19445171658	11636.9552796822	2974.78968850037	4437.80169746886	5294.88882048756	9087.93574015993	6808.30731962571	5872.55297405358	6186.00406627872	3693.80622740056	7108.12731794088	9639.52951113934	8242.31827751785	6970.89440408766	7439.04048587981	9959.42861817805	6750.28708251792
ABCD4	6457.28605258298	7747.39769380435	8296.87387731826	9953.64389604583	8444.43418136575	10107.9654350108	7123.55516976309	3151.7769006208	4720.5438327836	9376.37430500654	14181.0466974041	5365.99383902072	13080.9165489444	8497.30623898379	12449.6085789571	2583.62547871927	10977.6889082123	9547.95203411138	7018.02528220946	2831.54506279242	11750.5908448788	7129.11721250923	4507.06533748493	5817.23953621742	7618.4898087877	8147.28919989891	13322.4414860872	6376.39382516946	8896.69009124017	5549.7468182584	8108.54387733446	6263.54514784406	7381.79697118936	7846.51510679247	11427.273758165	2394.64931667077	3896.87339292889	7959.09800541739	7682.67123569512	7058.56744028564	8980.34956550759	8385.81528321388	5737.94547257935	6777.80280168224	6288.1011106125	6214.24822242059	8614.87532319626	8304.99077878148	10717.3426508087	4822.92079990669
ABCG1	1269.08121557433	907.485414047616	2034.25081973587	1771.32548860146	1219.19250249485	1612.35857126194	975.148209379334	1264.51250113402	2379.73188399927	1209.86955507459	727.32820507005	1496.12632388963	1521.52918648505	2098.69504772612	986.722704253554	2423.59369807799	2086.82873368628	2415.05486398217	1976.90296854547	2313.41947796109	1330.99319262821	2066.44219404088	1422.1614202491	1711.50525926982	915.630457075649	1192.57098102619	920.319311745875	1809.04776257468	2182.27866353893	2471.01819619228	446.19216893039	1834.92774919322	2956.85459246491	1856.97389027852	2176.15249403828	593.865975129278	2179.93490357573	3278.58717064762	1170.67616123848	2275.73686899778	1875.53960296271	1594.41661860574	2663.44735335476	2312.104700359	1932.34403034643	1840.38463124846	1682.3914306821	2423.83847898495	1007.39465179046	2053.05782863956
